id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
wd:Q43105,wikidata,oronym,Эльбрус,,Mount Elbrus,,,,,,Q43105,563532,,,,active,,wikidata,,2026-09-09,
wd:Q207680,wikidata,oronym,Казбек,,Mount Kazbek,,,,,,Q207680,551376,,,,active,,wikidata,,2026-09-09,
wd:Q724367,wikidata,oronym,Белуха,,Belukha,,,,,,Q724367,,,,,active,,wikidata,,2026-09-09,
wd:Q1142817,wikidata,oronym,Народная,,Mount Narodnaya,,,,,,Q1142817,1498004,,,,active,,wikidata,,2026-09-09,
wd:Q210252,wikidata,oronym,Ключевская Сопка,,Klyuchevskaya Sopka,,,,,,Q210252,2124442,,,,active,,wikidata,,2026-09-09,
wd:Q35600,wikidata,oronym,Уральские горы,,Ural Mountains,,,,,,Q35600,1488441,,,,active,,wikidata,,2026-09-09,
wd:Q486986,wikidata,oronym,Большой Кавказ,,Greater Caucasus,,,,,,Q486986,,,,,active,,wikidata,,2026-09-09,
wd:Q5955,wikidata,oronym,Алтайские горы,,Altai Mountains,,,,,,Q5955,1516401,,,,active,,wikidata,,2026-09-09,
wd:Q1974954,wikidata,oronym,Западный Саян,,Western Sayan,,,,,,Q1974954,1485476,,,,active,,wikidata,,2026-09-09,
wd:Q2373883,wikidata,oronym,Восточный Саян,,Eastern Sayan,,,,,,Q2373883,1515981,,,,active,,wikidata,,2026-09-09,
wd:Q155322,wikidata,oronym,Сихотэ-Алинь,,Sikhote-Alin,,,,,,Q155322,,,,,active,,wikidata,,2026-09-09,
wd:Q215917,wikidata,oronym,Верхоянский хребет,,Verkhoyansk Range,,,,,,Q215917,2013463,,,,active,,wikidata,,2026-09-09,
wd:Q683923,wikidata,oronym,хребет Черского,,Chersky Range,,,,,,Q683923,2126198,,,,active,,wikidata,,2026-09-09,
wd:Q214284,wikidata,oronym,Становой хребет,,Stanovoy Range,,,,,,Q214284,2016095,,,,active,,wikidata,,2026-09-09,
wd:Q38131,wikidata,oronym,Хибины,,Khibiny Mountains,,,,,,Q38131,550318,,,,active,,wikidata,,2026-09-09,
wd:Q277576,wikidata,oronym,плато Путорана,,Putorana Plateau,,,,,,Q277576,1493922,,,,active,,wikidata,,2026-09-09,
wd:Q194196,wikidata,oronym,Валдайская возвышенность,,Valdai Hills,,,,,,Q194196,477296,,,,active,,wikidata,,2026-09-09,
wd:Q1126906,wikidata,oronym,Среднерусская возвышенность,,Central Russian Upland,,,,,,Q1126906,489612,,,,active,,wikidata,,2026-09-09,
wd:Q5477,wikidata,oronym,Кавказские горы,,Caucasus Mountains,,,,,,Q5477,573081,,,,active,,wikidata,,2026-09-09,
wd:Q203239,wikidata,oronym,Саяны,,Sayan Mountains,,,,,,Q203239,1492894,,,,active,,wikidata,,2026-09-09,
wd:Q476313,wikidata,oronym,Дыхтау,,Dykh-Tau,,,,,,Q476313,563798,,,,active,,wikidata,,2026-09-09,
wd:Q217457,wikidata,oronym,Шхара,,Shkhara,,,,,,Q217457,494027,,,,active,,wikidata,,2026-09-09,
wd:Q925592,wikidata,oronym,Коштантау,,Koshtan-Tau,,,,,,Q925592,544156,,,,active,,wikidata,,2026-09-09,
wd:Q392246,wikidata,oronym,Мунку-Сардык,,Munku-Sardyk,,,,,,Q392246,,,,,active,,wikidata,,2026-09-09,
wd:Q2641506,wikidata,oronym,Полярный Урал,,Polar Urals,,,,,,Q2641506,1494462,,,,active,,wikidata,,2026-09-09,
wd:Q7792,wikidata,insulonym,Сахалин,,Sakhalin,,,,,,Q7792,2121530,,,,active,,wikidata,,2026-09-09,
wd:Q80389,wikidata,insulonym,Курильские острова,,Kuril Islands,,,,,,Q80389,2131689,,,,active,,wikidata,,2026-09-09,
wd:Q80413,wikidata,insulonym,Новая Земля,,Novaya Zemlya,,,,,,Q80413,519406,,,,active,,wikidata,,2026-09-09,
wd:Q185018,wikidata,insulonym,Земля Франца-Иосифа,,Franz Josef Land,,,,,,Q185018,562426,,,,active,,wikidata,,2026-09-09,
wd:Q208268,wikidata,insulonym,Командорские острова,,Commander Islands,,,,,,Q208268,2124383,,,,active,,wikidata,,2026-09-09,
wd:Q993,wikidata,insulonym,полуостров Камчатка,,Kamchatka Peninsula,,,,,,Q993,2125073,,,,active,,wikidata,,2026-09-09,
wd:Q37056,wikidata,insulonym,полуостров Таймыр,,Taymyr Peninsula,,,,,,Q37056,2015435,,,,active,,wikidata,,2026-09-09,
wd:Q488266,wikidata,insulonym,полуостров Ямал,,Yamal Peninsula,,,,,,Q488266,1486463,,,,active,,wikidata,,2026-09-09,
wd:Q165608,wikidata,insulonym,Кольский полуостров,,Kola Peninsula,,,,,,Q165608,546085,,,,active,,wikidata,,2026-09-09,
