id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
wd:Q649,wikidata,city,Москва,,Moscow,,iso:RU-MOW,RU-MOW,55.750556,37.617500,Q649,524901,,45000000,,active,,wikidata,,2026-09-11,
wd:Q656,wikidata,city,Санкт-Петербург,,Saint Petersburg,,iso:RU-SPE,RU-SPE,59.950000,30.316667,Q656,,,40000000,,active,,wikidata,,2026-09-11,
wd:Q883,wikidata,city,Новосибирск,,Novosibirsk,,iso:RU-NVS,RU-NVS,55.033333,82.916667,Q883,1496747,,50701000001,,active,,wikidata,,2026-09-11,
wd:Q887,wikidata,city,Екатеринбург,,Yekaterinburg,,iso:RU-SVE,RU-SVE,56.835556,60.612778,Q887,1486209,,65701000001,,active,,wikidata,,2026-09-11,
wd:Q900,wikidata,city,Казань,,Kazan,,iso:RU-TA,RU-TA,55.790833,49.114444,Q900,551487,,92701000001,,active,,wikidata,,2026-09-11,
wd:Q891,wikidata,city,Нижний Новгород,,Nizhny Novgorod,,iso:RU-NIZ,RU-NIZ,56.326944,44.007500,Q891,520555,,22701000001,,active,,wikidata,,2026-09-11,
wd:Q906,wikidata,city,Челябинск,,Chelyabinsk,,iso:RU-CHE,RU-CHE,55.150000,61.400000,Q906,1508291,,75701000001,,active,,wikidata,,2026-09-11,
wd:Q894,wikidata,city,Самара,,Samara,,iso:RU-SAM,RU-SAM,53.183333,50.116667,Q894,499099,,36701000001,,active,,wikidata,,2026-09-11,
wd:Q898,wikidata,city,Омск,,Omsk,,iso:RU-OMS,RU-OMS,54.966667,73.383333,Q898,1496153,,52701000001,,active,,wikidata,,2026-09-11,
wd:Q908,wikidata,city,Ростов-на-Дону,,Rostov-on-Don,,iso:RU-ROS,RU-ROS,47.222500,39.710000,Q908,501175,,60701000001,,active,,wikidata,,2026-09-11,
wd:Q911,wikidata,city,Уфа,,Ufa,,iso:RU-BA,RU-BA,54.726111,55.947500,Q911,479561,,80701000001,,active,,wikidata,,2026-09-11,
wd:Q919,wikidata,city,Красноярск,,Krasnoyarsk,,iso:RU-KYA,RU-KYA,56.008889,92.871944,Q919,1502026,,04701000001,,active,,wikidata,,2026-09-11,
wd:Q3426,wikidata,city,Воронеж,,Voronezh,,iso:RU-VOR,RU-VOR,51.671667,39.210556,Q3426,472045,,20701000001,,active,,wikidata,,2026-09-11,
wd:Q915,wikidata,city,Пермь,,Perm,,iso:RU-PER,RU-PER,58.013889,56.248889,Q915,511196,,57701000001,,active,,wikidata,,2026-09-11,
wd:Q914,wikidata,city,Волгоград,,Volgograd,,iso:RU-VGG,RU-VGG,48.708611,44.514722,Q914,472757,,18701000001,,active,,wikidata,,2026-09-11,
wd:Q3646,wikidata,city,Краснодар,,Krasnodar,,iso:RU-KDA,RU-KDA,45.033333,38.983333,Q3646,542420,,03701000001,,active,,wikidata,,2026-09-11,
wd:Q39420,wikidata,city,Сочи,,Sochi,,iso:RU-KDA,RU-KDA,43.585278,39.720278,Q39420,491422,,03726000001,,active,,wikidata,,2026-09-11,
wd:Q3118,wikidata,city,Орел,Орёл,Oryol,,iso:RU-ORL,RU-ORL,52.968611,36.069444,Q3118,515012,,54701000001,,active,,wikidata,,2026-09-11,
wd:Q7947,wikidata,city,Пушкин,,Pushkin,,iso:RU-SPE,RU-SPE,59.716667,30.416667,Q7947,504003,,40397000,,active,,wikidata,,2026-09-11,
wd:Q136435,wikidata,city,Жуковский,,Zhukovsky,,iso:RU-MOS,RU-MOS,55.601111,38.116111,Q136435,462755,,46725000001,,active,,wikidata,,2026-09-11,
wd:Q135410,wikidata,city,Домодедово,,Domodedovo,,iso:RU-MOS,RU-MOS,55.433333,37.750000,Q135410,565381,,46709000001,,active,,wikidata,,2026-09-11,
wd:Q5332,wikidata,city,Саратов,,Saratov,,iso:RU-SAR,RU-SAR,51.530000,46.035000,Q5332,498677,,63701000001,,active,,wikidata,,2026-09-11,
wd:Q5815,wikidata,city,Тюмень,,Tyumen,,iso:RU-TYU,RU-TYU,57.150000,65.533333,Q5815,1488754,,71701000001,,active,,wikidata,,2026-09-11,
wd:Q1341,wikidata,city,Тольятти,,Tolyatti,,iso:RU-SAM,RU-SAM,53.516667,49.416667,Q1341,482283,,36740000001,,active,,wikidata,,2026-09-11,
wd:Q5426,wikidata,city,Ижевск,,Izhevsk,,iso:RU-UD,RU-UD,56.850000,53.216667,Q5426,554840,,94701000001,,active,,wikidata,,2026-09-11,
wd:Q6014,wikidata,city,Барнаул,,Barnaul,,iso:RU-ALT,RU-ALT,53.356667,83.787222,Q6014,1510853,,01701000001,,active,,wikidata,,2026-09-11,
wd:Q5627,wikidata,city,Ульяновск,,Ulyanovsk,,iso:RU-ULY,RU-ULY,54.316667,48.366667,Q5627,479123,,73701000001,,active,,wikidata,,2026-09-11,
wd:Q6576,wikidata,city,Иркутск,,Irkutsk,,iso:RU-IRK,RU-IRK,52.289167,104.280000,Q6576,2023469,,25701000001,,active,,wikidata,,2026-09-11,
wd:Q4454,wikidata,city,Хабаровск,,Khabarovsk,,iso:RU-KHA,RU-KHA,48.483333,135.066667,Q4454,2022890,,08701000001,,active,,wikidata,,2026-09-11,
wd:Q2423,wikidata,city,Ярославль,,Yaroslavl,,iso:RU-YAR,RU-YAR,57.626389,39.893333,Q2423,468902,,78701000001,,active,,wikidata,,2026-09-11,
wd:Q959,wikidata,city,Владивосток,,Vladivostok,,iso:RU-PRI,RU-PRI,43.115000,131.885278,Q959,2013348,,05701000001,,active,,wikidata,,2026-09-11,
wd:Q5168,wikidata,city,Махачкала,,Makhachkala,,iso:RU-DA,RU-DA,42.982500,47.505000,Q5168,532096,,82701000001,,active,,wikidata,,2026-09-11,
wd:Q976,wikidata,city,Томск,,Tomsk,,iso:RU-TOM,RU-TOM,56.488611,84.952222,Q976,1489425,,69701000001,,active,,wikidata,,2026-09-11,
wd:Q5337,wikidata,city,Оренбург,,Orenburg,,iso:RU-ORE,RU-ORE,51.766667,55.100000,Q5337,515003,,53701000001,,active,,wikidata,,2026-09-11,
wd:Q6066,wikidata,city,Кемерово,,Kemerovo,,iso:RU-KEM,RU-KEM,55.333333,86.066667,Q6066,1503901,,32701000001,,active,,wikidata,,2026-09-11,
wd:Q93910,wikidata,city,Новокузнецк,,Novokuznetsk,,iso:RU-KEM,RU-KEM,53.750000,87.116667,Q93910,1496990,,32731000001,,active,,wikidata,,2026-09-11,
wd:Q2746,wikidata,city,Рязань,,Ryazan,,iso:RU-RYA,RU-RYA,54.630000,39.742500,Q2746,500096,,61701000001,,active,,wikidata,,2026-09-11,
wd:Q95041,wikidata,city,Набережные Челны,,Naberezhnye Chelny,,iso:RU-TA,RU-TA,55.714852,52.369653,Q95041,523750,,92730000001,,active,,wikidata,,2026-09-11,
wd:Q3927,wikidata,city,Астрахань,,Astrakhan,,iso:RU-AST,RU-AST,46.350000,48.035000,Q3927,580497,,12701000001,,active,,wikidata,,2026-09-11,
wd:Q5540,wikidata,city,Пенза,,Penza,,iso:RU-PNZ,RU-PNZ,53.200000,45.000000,Q5540,511565,,56701000001,,active,,wikidata,,2026-09-11,
wd:Q3490,wikidata,city,Липецк,,Lipetsk,,iso:RU-LIP,RU-LIP,52.616667,39.600000,Q3490,535121,,42701000001,,active,,wikidata,,2026-09-11,
wd:Q5384,wikidata,city,Киров,,Kirov,,iso:RU-KIR,RU-KIR,58.600000,49.650000,Q5384,548408,,33701000001,,active,,wikidata,,2026-09-11,
wd:Q5470,wikidata,city,Чебоксары,,Cheboksary,,iso:RU-CU,RU-CU,56.133333,47.250000,Q5470,569696,,97701000001,,active,,wikidata,,2026-09-11,
wd:Q2770,wikidata,city,Тула,,Tula,,iso:RU-TUL,RU-TUL,54.200000,37.616667,Q2770,480562,,70701000001,,active,,wikidata,,2026-09-11,
wd:Q1829,wikidata,city,Калининград,,Kaliningrad,,iso:RU-KGD,RU-KGD,54.716667,20.500000,Q1829,554234,,27701000001,,active,,wikidata,,2026-09-11,
wd:Q3159,wikidata,city,Курск,,Kursk,,iso:RU-KRS,RU-KRS,51.737222,36.187222,Q3159,538560,,38701000001,,active,,wikidata,,2026-09-11,
wd:Q6816,wikidata,city,Улан-Удэ,,Ulan-Ude,,iso:RU-BU,RU-BU,51.827222,107.606389,Q6816,7536080,,81701000001,,active,,wikidata,,2026-09-11,
wd:Q5206,wikidata,city,Ставрополь,,Stavropol,,iso:RU-STA,RU-STA,45.050000,41.983333,Q5206,487846,,07701000001,,active,,wikidata,,2026-09-11,
wd:Q95449,wikidata,city,Магнитогорск,,Magnitogorsk,,iso:RU-CHE,RU-CHE,53.383333,59.033333,Q95449,532288,,75738000001,,active,,wikidata,,2026-09-11,
wd:Q2288,wikidata,city,Тверь,,Tver,,iso:RU-TVE,RU-TVE,56.857828,35.921928,Q2288,480060,,28701000001,,active,,wikidata,,2026-09-11,
wd:Q2630,wikidata,city,Иваново,,Ivanovo,,iso:RU-IVA,RU-IVA,57.000000,41.000000,Q2630,555312,,24701000001,,active,,wikidata,,2026-09-11,
wd:Q2801,wikidata,city,Брянск,,Bryansk,,iso:RU-BRY,RU-BRY,53.242500,34.366667,Q2801,571476,,15701000001,,active,,wikidata,,2026-09-11,
wd:Q3323,wikidata,city,Белгород,,Belgorod,,iso:RU-BEL,RU-BEL,50.600000,36.600000,Q3323,578072,,14701000001,,active,,wikidata,,2026-09-11,
wd:Q183002,wikidata,city,Сургут,,Surgut,,iso:RU-KHM,RU-KHM,61.250000,73.433333,Q183002,1490624,,71876000001,,active,,wikidata,,2026-09-11,
wd:Q2684,wikidata,city,Владимир,,Vladimir,,iso:RU-VLA,RU-VLA,56.128611,40.405833,Q2684,473247,,17701000001,,active,,wikidata,,2026-09-11,
wd:Q98967,wikidata,city,Нижний Тагил,,Nizhny Tagil,,iso:RU-SVE,RU-SVE,57.916667,59.966667,Q98967,520494,,65751000001,,active,,wikidata,,2026-09-11,
wd:Q53139,wikidata,city,Чита,,Chita,,iso:RU-ZAB,RU-ZAB,52.033409,113.500893,Q53139,2025339,,76701000001,,active,,wikidata,,2026-09-11,
wd:Q1851,wikidata,city,Архангельск,,Arkhangelsk,,iso:RU-ARK,RU-ARK,64.543056,40.537500,Q1851,581049,,11701000001,,active,,wikidata,,2026-09-11,
wd:Q2837,wikidata,city,Калуга,,Kaluga,,iso:RU-KLU,RU-KLU,54.533333,36.266667,Q2837,553915,,29701000001,,active,,wikidata,,2026-09-11,
wd:Q2337,wikidata,city,Смоленск,,Smolensk,,iso:RU-SMO,RU-SMO,54.782778,32.045278,Q2337,491687,,66701000001,,active,,wikidata,,2026-09-11,
wd:Q98995,wikidata,city,Волжский,,Volzhsky,,iso:RU-VGG,RU-VGG,48.783333,44.766667,Q98995,472231,,18710000001,,active,,wikidata,,2026-09-11,
wd:Q13379,wikidata,city,Курган,,Kurgan,,iso:RU-KGN,RU-KGN,55.440833,65.341111,Q13379,1501321,,37701000001,,active,,wikidata,,2026-09-11,
wd:Q2144,wikidata,city,Череповец,,Cherepovets,,iso:RU-VLG,RU-VLG,59.133333,37.916667,Q2144,569223,,19730000001,,active,,wikidata,,2026-09-11,
wd:Q5239,wikidata,city,Владикавказ,,Vladikavkaz,,iso:RU-SE,RU-SE,43.040000,44.677500,Q5239,473249,,90701000001,,active,,wikidata,,2026-09-11,
wd:Q5196,wikidata,city,Грозный,,Grozny,,iso:RU-CE,RU-CE,43.312500,45.698611,Q5196,558418,,96701000001,,active,,wikidata,,2026-09-11,
wd:Q1763,wikidata,city,Мурманск,,Murmansk,,iso:RU-MUR,RU-MUR,68.966667,33.083333,Q1763,524305,,47701000001,,active,,wikidata,,2026-09-11,
wd:Q1957,wikidata,city,Вологда,,Vologda,,iso:RU-VLG,RU-VLG,59.216667,39.900000,Q1957,472459,,19701000001,,active,,wikidata,,2026-09-11,
wd:Q5343,wikidata,city,Саранск,,Saransk,,iso:RU-MO,RU-MO,54.183333,45.183333,Q5343,498698,,89701000001,,active,,wikidata,,2026-09-11,
